OT,MT,DEP,SC,LAT,LON,SPOT
2023-05-29,1.2,11.0,1,35.54,129.21,울산 울주군 북서쪽 4km 지역
2023-05-28,1.2,13.0,1,38.88,127.01,북한 황해북도 신평 동쪽 23km 지역
2023-05-27,0.9,12.0,1,38.0,128.9,강원 양양군 동남동쪽 26km 해역
2023-05-27,1.4,6.0,1,35.46,126.81,전남 장성군 북쪽 18km 지역
2023-05-26,1.1,8.0,1,35.46,126.81,전남 장성군 북쪽 18km 지역
2023-05-26,1.4,23.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-05-25,0.8,13.0,1,35.74,129.02,경북 경주시 남서쪽 23km 지역
2023-05-25,2.4,28.0,1,41.23,129.35,북한 함경북도 길주 북쪽 31km 지역
2023-05-25,1.0,21.0,1,37.88,129.54,강원 동해시 북동쪽 54km 해역
2023-05-25,1.3,17.0,1,37.68,129.59,강원 동해시 동북동쪽 45km 해역
2023-05-24,1.6,31.0,1,37.87,129.49,강원 동해시 북동쪽 51km 해역
2023-05-24,1.3,26.0,1,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-05-24,1.3,17.0,1,36.49,129.81,경북 영덕군 동북동쪽 41km 해역
2023-05-24,1.4,8.0,1,35.97,129.48,경북 포항시 남구 동남동쪽 12km 지역
2023-05-23,1.3,7.0,2,36.69,127.78,충북 괴산군 남쪽 14km 지역
2023-05-22,1.8,10.0,1,38.41,126.1,북한 황해북도 평산 서북서쪽 27km 지역
2023-05-22,1.3,26.0,1,37.85,129.54,강원 동해시 북동쪽 52km 해역
2023-05-22,2.3,28.0,1,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-05-21,1.4,8.0,1,37.78,126.17,북한 개성 서남서쪽 41km 해역
2023-05-21,1.5,11.0,1,38.28,126.64,북한 황해북도 평산 동남동쪽 22km 지역
2023-05-20,0.9,12.0,1,36.03,128.01,경북 김천시 남서쪽 15km 지역
2023-05-20,1.3,24.0,1,37.86,129.5,강원 동해시 북동쪽 50km 해역
2023-05-19,1.6,21.0,1,34.43,125.99,전남 진도군 서남서쪽 26km 해역
2023-05-19,1.5,21.0,1,34.43,125.99,전남 진도군 서남서쪽 26km 해역
2023-05-19,2.3,15.0,1,41.28,129.17,북한 함경북도 길주 북북서쪽 38km 지역
2023-05-19,1.9,26.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-05-19,1.8,21.0,1,34.93,127.17,전남 보성군 북북동쪽 19km 지역
2023-05-18,1.9,24.0,1,37.87,129.53,강원 동해시 북동쪽 53km 해역
2023-05-18,1.2,6.0,1,38.13,127.1,경기 연천군 북북동쪽 4km 지역
2023-05-18,1.0,11.0,1,35.36,127.91,경남 산청군 남남동쪽 7km 지역
2023-05-18,1.2,21.0,1,37.88,129.55,강원 동해시 북동쪽 55km 해역
2023-05-16,0.9,12.0,1,35.76,129.18,경북 경주시 남남서쪽 11km 지역
2023-05-16,1.3,26.0,1,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-05-16,1.8,31.0,1,37.87,129.5,강원 동해시 북동쪽 51km 해역
2023-05-15,1.2,26.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-05-15,0.9,10.0,1,35.95,128.35,경북 성주군 동북동쪽 7km 지역
2023-05-15,1.4,21.0,1,33.94,126.3,제주 제주시 북북서쪽 53km 해역
2023-05-15,1.8,24.0,1,37.87,129.53,강원 동해시 북동쪽 53km 해역
2023-05-15,1.0,16.0,1,35.37,128.03,경남 산청군 동남동쪽 15km 지역
2023-05-15,4.5,31.0,3,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-05-15,1.3,27.0,1,37.88,129.52,강원 동해시 북동쪽 53km 해역
2023-05-15,0.9,12.0,1,36.52,127.61,충북 보은군 서북서쪽 11km 지역
2023-05-14,1.9,27.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-05-14,3.1,30.0,1,37.86,129.51,강원 동해시 북동쪽 51km 해역
2023-05-13,1.4,16.0,1,36.48,128.52,경북 의성군 북서쪽 21km 지역
2023-05-12,1.2,19.0,1,34.79,127.45,전남 보성군 동쪽 34km 지역
2023-05-12,1.6,6.0,1,38.13,127.1,경기 연천군 북북동쪽 4km 지역
2023-05-11,1.0,16.0,1,37.5,129.12,강원 동해시 남쪽 3km 지역
2023-05-11,1.5,15.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-11,1.2,21.0,1,33.94,126.3,제주 제주시 북북서쪽 53km 해역
2023-05-11,1.5,14.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-11,1.2,9.0,1,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
2023-05-10,1.1,15.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-10,1.4,15.0,1,37.48,129.11,강원 동해시 남쪽 5km 지역
2023-05-10,1.9,15.0,2,37.48,129.12,강원 동해시 남쪽 5km 지역
2023-05-10,2.5,16.0,2,37.49,129.12,강원 동해시 남쪽 4km 지역
2023-05-10,2.2,5.0,2,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-05-10,0.6,6.0,1,38.13,127.1,경기 연천군 북북동쪽 4km 지역
2023-05-10,0.8,14.0,1,37.5,129.14,강원 동해시 남동쪽 4km 해역
2023-05-10,2.5,15.0,2,37.49,129.14,강원 동해시 남남동쪽 4km 지역
2023-05-09,1.7,9.0,1,37.17,125.42,인천 옹진군 연평도 남남서쪽 60km 해역
2023-05-09,1.3,6.0,1,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-05-09,1.1,11.0,1,35.56,128.89,경남 밀양시 동북동쪽 14km 지역
2023-05-09,1.8,21.0,1,33.06,126.3,제주 서귀포시 남서쪽 32km 해역
2023-05-09,1.2,16.0,1,37.5,129.13,강원 동해시 남남동쪽 3km 지역
2023-05-09,1.3,15.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-09,1.8,15.0,1,37.5,129.13,강원 동해시 남남동쪽 3km 지역
2023-05-08,1.6,21.0,1,37.86,129.5,강원 동해시 북동쪽 50km 해역
2023-05-08,2.1,23.0,1,37.87,129.51,강원 동해시 북동쪽 52km 해역
2023-05-08,1.3,16.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-08,1.3,15.0,1,37.5,129.13,강원 동해시 남남동쪽 3km 지역
2023-05-08,1.4,14.0,1,37.5,129.13,강원 동해시 남남동쪽 3km 지역
2023-05-08,1.4,15.0,1,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-08,2.5,17.0,3,37.49,129.13,강원 동해시 남남동쪽 4km 해역
2023-05-08,1.3,11.0,1,38.03,128.8,강원 양양군 동남동쪽 17km 해역
2023-05-06,1.7,9.0,2,36.95,126.4,충남 서산시 북북서쪽 19km 지역
2023-05-06,1.7,20.0,1,36.06,128.22,경북 김천시 남동쪽 13km 지역
2023-05-05,1.1,12.0,1,38.04,128.91,강원 양양군 동쪽 26km 해역
2023-05-05,1.6,12.0,1,38.04,128.92,강원 양양군 동쪽 27km 해역
2023-05-05,1.5,5.0,1,36.04,126.47,충남 서천군 서남서쪽 20km 해역
2023-05-05,1.2,7.0,1,36.68,127.55,충북 청주시 청원구 동북동쪽 6km 지역
2023-05-04,1.8,6.0,1,38.07,125.27,북한 황해남도 옹진 북북서쪽 17km 지역
2023-05-04,1.1,9.0,1,36.67,128.06,경북 문경시 북서쪽 15km 지역
2023-05-02,0.9,13.0,1,36.16,128.84,경북 군위군 동남동쪽 26km 지역
2023-05-02,1.7,12.0,1,35.09,125.07,전남 신안군 흑산도 북서쪽 57km 해역
2023-05-01,1.2,13.0,1,35.76,129.19,경북 경주시 남남서쪽 11km 지역
